Test Name,Difficulty,No. of Questions,Time Needed,Description,Link
Lean Manufacturing,Medium,10 Questions,10 Min,Lean manufacturing focuses on minimizing waste within manufacturing systems while simultaneously maximizing productivity in an organization.,https://testlify.com/test-library/lean-manufacturing/
Six Sigma,Medium,10 Questions,10 Min,"The six sigma test assesses the candidate’s conceptual knowledge, decision-making, statistics, analytical and problem-solving skills.",https://testlify.com/test-library/six-sigma/
Google Analytics,Medium,10 Questions,10 Min,"The google analytics test has been designed mainly to assess the candidate in conceptual knowledge, report assessment, and strong analytical and problem-solving skills.",https://testlify.com/test-library/google-analytics/
Google Ads,Medium,10 Questions,10 Min,"The google ads test has been designed mainly to assess the candidate in conceptual knowledge, metrics assessment, and strong analytical and problem-solving skills.",https://testlify.com/test-library/google-ads/
Brand Management,Medium,10 Questions,10 Min,"The brand management test is designed mainly to assess the candidate in brand management, advertising, knowledge of recent trends in marketing, conceptual understanding, etc.",https://testlify.com/test-library/brand-management/
Sales Development Representative (SDR),Medium,20 Questions,20 Min,"This test evaluates an SDR’s aptitude for the role and familiarity with the fundamentals of inside sales, outside sales, and sales management. It also assesses the candidate’s Attention to Detail.",https://testlify.com/test-library/sales-development-representative-sdr/
Vue 2,Medium,10 Questions,10 Min,This test will allow the user to test their knowledge of the Vue.js framework (Vue 2) and provide insight into how well they understand javascript as the core language.,https://testlify.com/test-library/vue-2/
CyberSecurity,Medium,10 Questions,10 Min,"With an intermediate knowledge of cyber security, this test can be attempted. This test is a culmination of various topics such as SQL injection, network security, and cyber forensics.",https://testlify.com/test-library/cyber-security/
Warehouse Picker,Medium,10 Questions,10 Min,This test can help the candidate evaluate the critical calculations of the order process. Warehouse pickers must measure the warehouse elves to ensure that orders are processed and shipped correctly.,https://testlify.com/test-library/warehouse-picker/
Warehouse Supervisor,Medium,10 Questions,10 Min,The Warehouse Supervisor assessment is a comprehensive evaluation designed to gauge candidates’ suitability for the role of a Warehouse Supervisor,https://testlify.com/test-library/warehouse-supervisor/
Facebook Advertising,Medium,10 Questions,10 Min,This is a moderate-level test based on Facebook advertising and marketing principles to evaluate the skills and knowledge of the interested candidate.,https://testlify.com/test-library/facebook-advertising/
Hospitality Manager (hotel incl. restaurant),Medium,10 Questions,10 Min,Sometimes having these tests helps the organization understand the mindset of the person and how this employee will add to the value of the organization.,https://testlify.com/test-library/hospitality-manager-hotel-incl-restaurant/
Business Intelligence Analyst,Medium,10 Questions,10 Min,"The business intelligence analyst test is designed mainly to assess the candidate’s knowledge of dimensional data modeling, data interpretation, and strong analytical and problem-solving skills.",https://testlify.com/test-library/business-intelligence-analyst/
Big Five Inventory (BFI),Medium,44 Questions,10 Min,"This test evaluates individuals based on the Big Five personality traits: openness, conscientiousness, extraversion, agreeableness, and neuroticism.",https://testlify.com/test-library/big-five-inventory-bfi/
Microsoft Windows,Medium,10 Questions,10 Min,This assists a candidate in improving their understanding of Microsoft Windows. Microsoft Windows has a wide range of features for users.,https://testlify.com/test-library/microsoft-windows/
Flutter,Medium,10 Questions,10 Min,"The test is based on the basic syntax of Flutter for error handling. Candidates need to be through with the basics of Flutter. Even buttons and widgets are used, an essential concept in Flutter.",https://testlify.com/test-library/flutter/
T-SQL,Medium,10 Questions,10 Min,"According to the specification, this test assesses individuals’ ability to write Transact SQL code and understand various T-SQL concepts.",https://testlify.com/test-library/t-sql/
popular,Problem Solving,Medium,10 Questions,10 Min,https://testlify.com/test-library/problem-solving/
Mechanical Reasoning,Medium,10 Questions,10 Min,This Mechanical reasoning tests assess a candidate’s knowledge of core mechanical principles and the ability to understand the basic principles of mechanics.,https://testlify.com/test-library/mechanical-reasoning/
PLSQL,Medium,10 Questions,10 Min,"According to the specification, this test assesses individuals’ ability to write PLSQL SQL code and understand various concepts of PLSQL programming.",https://testlify.com/test-library/plsql/
Business Judgement,Medium,10 Questions,10 Min,"The business judgment test helps you evaluate your correct judgment, decision-making, and analytical, critical point of view in a professional work setting.",https://testlify.com/test-library/business-judgement-test/
Ruby on Rails,Medium,18 Questions,10 Min,"In this test, you can come across the Action View helper, Action Controller, and Routing used in the application. It also covers the Security rails, the major problem and how to resolve it.",https://testlify.com/test-library/ruby-on-rails/
Ruby,Medium,10 Questions,10 Min,"The Ruby assessment is designed to evaluate candidates’ proficiency in the Ruby programming language, focusing on their coding skills and problem-solving abilities",https://testlify.com/test-library/ruby/
Microsoft SQL,Medium,10 Questions,10 Min,"According to the specification, this test assesses individuals’ ability to write Microsoft SQL code and understand various Microsoft SQL Server concepts.",https://testlify.com/test-library/microsoft-sql/
Business Ethics & Compliance,Medium,10 Questions,10 Min,"The business ethics and compliance test helps you to evaluate your correct judgment, decision-making, and ethical point of view in a professional work setting.",https://testlify.com/test-library/business-ethics-compliance/
Vue 3,Medium,10 Questions,10 Min,"Users will be able to demonstrate their understanding of Vue, an open-source framework for creating single-page apps and user interfaces that is based on javascript as its primary language.",https://testlify.com/test-library/vue-3/
Angular,Medium,11 Questions,10 Min,"This test assesses applicants’ understanding of and proficiency with Angular directives, pipelines, forms, services, and RxJs, as well as their knowledge of and proficiency with Angular.",https://testlify.com/test-library/angular-test/
AutoCAD,Medium,10 Questions,10 Min,"The AutoCAD test measures a candidate’s aptitude for creating and annotating 3D models containing solids, surfaces, and mesh objects, as well as 2D geometry.",https://testlify.com/test-library/autocad/
WordPress Developer,Medium,8 Questions,10 Min,This test evaluates a candidate’s capacity to understand the internal structure of the WordPress platform.,https://testlify.com/test-library/wordpress-developer/
GDPR & Privacy,Medium,10 Questions,10 Min,The GDPR & Privacy Assessment is a comprehensive evaluation designed to assess candidates’ proficiency in understanding and applying the principles of the General Data Protection Regulation (GDPR) .,https://testlify.com/test-library/gdpr-privacy/
CSS,Medium,12 Questions,10 Min,"This test evaluates a candidate’s capacity to use the best practices based on CSS, which helps in styling the website, the most widely used language for web development.",https://testlify.com/test-library/css/
PHP,Medium,41 Questions,10 Min,This PHP test evaluates candidates’ ability to program a short algorithm and checks their basic programming skills.,https://testlify.com/test-library/php/
Zendesk,Medium,10 Questions,10 Min,"According to the specification, this test assesses individuals’ ability to understand software designed to improve customer relationships.",https://testlify.com/test-library/zendesk/
Attention to Detail- Visual,Medium,12 Questions,10 Min,This assessment measures a candidate’s capacity for paying attention to visual information and details. It aids in the identification of applicants who can pay close attention to graphic elements.,https://testlify.com/test-library/attention-to-detail-visual/
French (Proficient/C1),Hard,12 Questions,10 Min,The French test evaluates a candidate’s ability to think and speak French at the C1 level of the CEFR Framework.,https://testlify.com/test-library/french-proficient-c1/
French (Intermediate/B1),Medium,12 Questions,10 Min,This test will help you identify employees who can participate in demanding professional and social conversations in French.,https://testlify.com/test-library/french-intermediate-b1/
Social Media Management,Medium,10 Questions,10 Min,"This social media management test evaluates candidates’ proficiency with business development, designing and briefing, content and interaction, media, and planning to reach on social media platforms.",https://testlify.com/test-library/social-media-management/
French (Basic/A1),Easy,12 Questions,10 Min,The French test evaluates a candidate’s ability to think and speak French at the A1 level of the CEFR Framework.,https://testlify.com/test-library/french-basic-a1/
German (Proficient/C2),Hard,12 Questions,10 Min,Goethe-Zertifikat C1 and C2 are examinations for adults. It certifies that candidates have acquired advanced language skills and corresponds to the fifth level and the sixth level.,https://testlify.com/test-library/german-proficient-c2/
German (Upper Intermediate/B2),Medium,12 Questions,10 Min,The Goethe-Zertifikat B2 is a German exam for young people and adults. It certifies that candidates have acquired advanced language skills and correspond to the third and fourth levels.,https://testlify.com/test-library/german-upper-intermediate-b2/
German (Basic/A1),Easy,12 Questions,10 Min,The German tests A1 and A2 certify that the candidates have acquired basic language skills and correspond to the first levels (A1 and A2).,https://testlify.com/test-library/german-basic-a1/
Japanese (Proficient/C1),Hard,12 Questions,10 Min,This test evaluates the candidate’s ability to comprehend the language at the N2 and N1 levels of the JLPT framework. The test will help you identify employees.,https://testlify.com/test-library/japanese-proficient-c1/
Japanese (Upper Intermediate/B2),Medium,12 Questions,10 Min,This test evaluates the candidate’s ability to comprehend the language at the N3 level of the JLPT framework. The test will help you identify employees who can participate in demanding business.,https://testlify.com/test-library/japanese-upper-intermediate-b2/
Japanese (Basic/A1),Easy,12 Questions,10 Min,The Japanese test evaluates the candidate’s ability to comprehend the basics of the language at the N5 and N4 levels of the JLPT framework.,https://testlify.com/test-library/japanese-basic-a1/
Spanish (Proficient/C2),Hard,12 Questions,10 Min,This test will help you identify employees who are proficient in Spanish and can take up a higher level of tasks.,https://testlify.com/test-library/spanish-proficient-c2/
SEO Copywriting,Medium,10 Questions,10 Min,The test includes questions relating to both technical and non-technical aspects of SEO.,https://testlify.com/test-library/seo-copywriting-test/
Spanish (Basic/A1),Easy,12 Questions,10 Min,"The Spanish test will evaluate a candidate’s ability to understand, interpret, and equally if they can respond to the communications carried out in daily lifestyle choices.",https://testlify.com/test-library/spanish-basic-a1/
Spanish (Intermediate/B1),Medium,12 Questions,10 Min,"The Spanish test will evaluate a candidate’s ability to understand, interpret and equally test if they can under the gist of clear texts, deal with most situations and start with descriptions.",https://testlify.com/test-library/spanish-b1-intermediate/
Italian (Proficient/C2),Hard,12 Questions,10 Min,This Italian test evaluates an individual’s advanced knowledge of the Italian language. This test will help you identify employees who are proficient in Italian and can take up a higher level of tasks,https://testlify.com/test-library/italian-proficient-c2/
Italian (Intermediate/B1),Medium,12 Questions,10 Min,"This test will help you identify employees who can read, write and speak in Italian and are capable of the requirement and verbally convey the message.",https://testlify.com/test-library/italian-intermediate-b1/
Italian (Basic/A1),Easy,12 Questions,10 Min,This Italian test evaluates an individual’s basic knowledge of the Italian language. This test will help you identify employees who can read and understand the basics of the context.,https://testlify.com/test-library/italian-basic-a1/
Mandarin (Proficient/C1),Hard,12 Questions,10 Min,The test assesses knowledge of a wide range of protracted and challenging texts and understanding of the text’s underlying meaning.,https://testlify.com/test-library/mandarin-test-c1/
Mandarin (Intermediate/B1),Medium,12 Questions,10 Min,"The test will evaluate a candidate’s ability to understand and interpret and also test if they can answer the higher-level grammar questions, understand the audio, and can read the comprehension.",https://testlify.com/test-library/mandarin-test-b1/
Mandarin (Basic/A1),Easy,12 Questions,10 Min,"It evaluates a candidate’s ability to think, read, write and speak in Mandarin.",https://testlify.com/test-library/mandarin-test-a1/
Communication,Medium,10 Questions,10 Min,The Communication assessment is a comprehensive evaluation designed to measure candidates’ proficiency in verbal and written communication skills,https://testlify.com/test-library/communications/
Java,Medium,10 Questions,10 Min,"The java assessment test helps recruiters hire candidates with knowledge and experience in recursions, functions, error handling, OOPS and Arithmetic Operators.",https://testlify.com/test-library/java/
Express.js,Medium,10 Questions,10 Min,This test will allow the user to test their knowledge of the express JS framework and provide insight into how well they understand the industrial implementation of the framework.,https://testlify.com/test-library/express-js/
Scrum Master,Medium,10 Questions,10 Min,This test aims to understand the competency of the individual to understand the nuances of the scrum alliance and the scrum guidelines.,https://testlify.com/test-library/scrum-master/
Maven,Medium,10 Questions,8 Min,"This tool is relevant for all developers who are working with Java, Spring boot, and Microservices as their base technology.",https://testlify.com/test-library/maven/
Business Communication,Medium,30 Questions,25 Min,This test evaluates a candidate’s potential for a team to communicate effectively both internally and externally for the purpose of promoting a business.,https://testlify.com/test-library/business-communication/
English (Basic/A2),Medium,10 Questions,10 Min,"The English language exam measures phoneme-level language skills in comparison to a native speaker’s pronunciation, grammar, fluency, and lexical stress.",https://testlify.com/test-library/english-basic-a2/
English (Proficient/C1),Hard,10 Questions,10 Min,"This test assesses a candidate’s knowledge with a series of questions across different skills such as reading comprehension, para jumbles, para completion, paragraph summary, and other areas.",https://testlify.com/test-library/english-proficient-c1/
WordPress Administrator,Medium,10 Questions,10 Min,"This WordPress Administrator test evaluates candidates’ ability to create and manage content, add functionality in the form of plugins, change styling in the form of themes, and lots more.",https://testlify.com/test-library/wordpress-administration/
UI/UX Design,Medium,10 Questions,10 Min,"This UI/UX Design assessment is designed to evaluate candidates’ proficiency in user interface (UI) and user experience (UX) design, encompassing a range of sub-skills critical for creating.",https://testlify.com/test-library/ui-ux-design-assessment/
Data Engineer,Medium,10 Questions,10 Min,This test assesses candidates’ abilities to use the Data Engineering Capabilities of a candidate and familiarity with data-related concepts.,https://testlify.com/test-library/data-engineer/
Cloud,Medium,10 Questions,10 Min,This test assesses candidates’ abilities to use Cloud technologies for their applications.Cloud Engineer’s responsibilities include deploying and debugging systems and executing new cloud initiatives.,https://testlify.com/test-library/cloud/
Spark,Medium,10 Questions,10 Min,This test assesses candidates’ abilities to use Spark abilities of a candidate and familiarity with spark-related concepts.,https://testlify.com/test-library/spark/
Business Analyst,Medium,10 Questions,10 Min,Candidates with a basic knowledge of business analysis fundamentals can attempt the test.,https://testlify.com/test-library/business-analyst/
Docker,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Docker and know how to utilize Docker for containerization.,https://testlify.com/test-library/docker/
Kubernetes,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Kubernetes and know how to utilize it for the deployment and management of cloud-native applications.,https://testlify.com/test-library/kubernetes/
Salesforce CRM,Medium,10 Questions,10 Min,"The Candidate has basic Knowledge in Salesforce offers innovative, cloud-based CRM that’s scalable and customizable, and will be able to qualify for the Assessment.",https://testlify.com/test-library/salesforce-crm-test/
Spring Boot,Medium,10 Questions,10 Min,This test assesses candidates’ ability to use SpringBoot for user applications and Java-related concepts.,https://testlify.com/test-library/spring-boot/
MySQL,Medium,10 Questions,10 Min,The MySQL assessment is a comprehensive evaluation tool designed to assess candidates’ proficiency in working with the MySQL database management system.,https://testlify.com/test-library/my-sql/
CEFR English,Medium,60 Questions,30 Min,The CEFR English Test is designed to assess candidates’ proficiency in the English language based on the Common European Framework of Reference for Languages (CEFR) levels.,https://testlify.com/test-library/cefr-english/
Ethical Hacking,Medium,10 Questions,10 Min,"This test assesses individual candidates having basic knowledge of Recon, Scanning, Social engineering, malware, and vulnerability scanning the overall test is of moderate level.",https://testlify.com/test-library/ethical-hacking/
Email skills (Microsoft Outlook),Medium,10 Questions,10 Min,Microsoft Outlook test deals with elements that help you to find the Email skills in Microsoft Outlook by which the Recruitment process can be made easier.,https://testlify.com/test-library/email-skills-microsoft-outlook/
Email skills (Gmail),Medium,10 Questions,10 Min,"The test evaluates candidates’ understanding of their key knowledge and ability to manage, execute, and analyze emails and their functionalities.",https://testlify.com/test-library/email-skills-gmail/
C++,Medium,10 Questions,10 Min,"The test covers the basic introduction to C++, functions, and mainly the object-oriented programming concepts.",https://testlify.com/test-library/c-2/
Email Marketing,Medium,10 Questions,10 Min,"The test evaluates a candidate’s understanding of and ability to plan, execute, analyze, and optimize an email marketing campaign.",https://testlify.com/test-library/email-marketing-test/
AppDynamics Application Monitoring,Medium,12 Questions,10 Min,AppDynamics Application Monitoring test will ensure that the user is having knowledge of basic concepts and Core essentials of the tool.,https://testlify.com/test-library/appdynamics/
UiPath,Medium,10 Questions,10 Min,"This test assesses candidates’ understanding of Ui path basics like interactions/selectors, UiPath Studio/Components and UiPath Orchestrator.",https://testlify.com/test-library/uipath/
NoSQL,Medium,10 Questions,10 Min,This test can help you identify individuals with prior knowledge and experience with open-source database management systems.,https://testlify.com/test-library/nosql/
Financial Accounting,Medium,10 Questions,10 Min,The Financial Accounting Test is a comprehensive assessment designed to evaluate candidates’ analytical capabilities in the realm of financial management.,https://testlify.com/test-library/financial-accounting/
Inside Sales (B2B),Medium,10 Questions,10 Min,This Inside (B2B) sales test assesses candidates’ ability to demonstrate product knowledge and pitch the product or service to prospects.,https://testlify.com/test-library/inside-sales-b2b/
Sales Aptitude,Medium,30 Questions,20 Min,This Sales Aptitude assessment aims to evaluate candidates’ aptitude for excelling in sales roles across various industries.,https://testlify.com/test-library/sales-aptitude/
Logical Reasoning,Medium,10 Questions,10 Min,A logical reasoning assessment measures an individual’s ability to use logic and reasoning to solve problems.,https://testlify.com/test-library/logical-reasoning/
Tableau,Medium,10 Questions,10 Min,"Overall, the test is of intermediate level, some questions require intricate knowledge regarding Visualizations and Exploratory data analysis overall.",https://testlify.com/test-library/tableau/
C,Medium,10 Questions,10 Min,"This test assesses a candidate’s ability to create applications, operating systems, games, graphics, and websites using the C programming language.",https://testlify.com/test-library/c/
Python 3,Medium,10 Questions,10 Min,"Python 3 Test helps to determine a candidate’s object-oriented programming skills that involve a deep understanding of the Basics Of Python, Variables, Data type-Tuples, functions, and Frameworks.",https://testlify.com/test-library/python-3/
Sales Management,Medium,10 Questions,10 Min,"This test evaluates a candidate’s sales negotiation, optimization, pitch, relationship-building, and planning skills—candidates with previous experience and an understanding of sales management.",https://testlify.com/test-library/sales-management/
React Native,Medium,10 Questions,10 Min,"This test assesses a candidate’s abilities to plan and execute on React Native, It can assist in finding React Native developers to design, update, and maintain your projects.",https://testlify.com/test-library/react-native-test/
Data Structures and Algorithms,Medium,10 Questions,10 Min,This test assesses a candidate’s abilities to plan and execute Data Structures and Algorithms.,https://testlify.com/test-library/data-structures-and-algorithms/
Inventory Management,Medium,10 Questions,10 Min,"The inventory management test assesses a candidate’s ability to handle a part of supply chain management. Along with this, it enables inventory-related people to meet the target successfully.",https://testlify.com/test-library/inventory-management/
Customer Support Representative,Medium,10 Questions,10 Min,A customer support representative assessment is a tool or method used to evaluate the performance of an individual or team in a customer support role.,https://testlify.com/test-library/customer-support-representative/
Git,Medium,12 Questions,10 Min,"A Git assessment evaluates a person’s knowledge and skills with Git, a version control system to track changes in computer files and coordinate work on those files among multiple people.",https://testlify.com/test-library/git/
.NET Core,Medium,10 Questions,10 Min,"The .NET Framework provides services that include: Memory management, Type and memory safety, Security, Networking, Application deployment, Data structures, and APIs.",https://testlify.com/test-library/net-core/
Accounting Assistant,Medium,10 Questions,10 Min,"This test will help you identify candidates with a thorough understanding of income tax, GST, Business finance, bills of exchange, and Cash flow.",https://testlify.com/test-library/accounting-assistant/
jQuery,Medium,10 Questions,10 Min,"You can use this exam to find the people who are having the experience and utilize the different jQuery tags and attributes such as basics, functions, syntax, API as well as operations.",https://testlify.com/test-library/jquery/
Logistics Manager,Medium,10 Questions,10 Min,This test can help you identify individuals with hands-on experience and knowledge of Supply chain and Logistics activities that make strong error-free delivery on time.,https://testlify.com/test-library/logistics/
Decision Making,Medium,10 Questions,10 Min,This test can help you identify individuals with hands-on experience and knowledge of different decision-making capabilities in different situations.,https://testlify.com/test-library/decision-making/
popular,Frontend Developer,Medium,10 Questions,10 Min,https://testlify.com/test-library/frontend-developer/
Negotiation,Medium,10 Questions,10 Min,"The Negotiation test assesses the candidate’s conceptual knowledge, strategic decision-making, solution-driven approach, project management, and problem-solving skills.",https://testlify.com/test-library/negotiation/
Time Management,Medium,10 Questions,10 Min,"The time management test assesses the candidate’s conceptual knowledge, decision-making, decision-management, analytical, strategic decision-making, project management, and problem-solving.",https://testlify.com/test-library/time-management-test/
Pre-Sales,Medium,10 Questions,10 Min,This test hints about the candidate’s capabilities to make decisions and find the best solutions in the real world.,https://testlify.com/test-library/pre-sales/
Tensorflow,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Python and know how to Python and TensorFlow for Machine Learning.,https://testlify.com/test-library/tensorflow/
Truffle Framework,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Smart contract development and know how to utilise Truffle for creating Dapps and Smart Contracts.,https://testlify.com/test-library/truffle-framework/
NumPy,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Python and know how to utilize NumPy for Data Analysis.,https://testlify.com/test-library/numpy/
Ethereum,Medium,10 Questions,10 Min,This test can help you identify candidates that have prior experience in Blockchain and Smart Contract development.,https://testlify.com/test-library/ethereum/
Accounting (advanced),Medium,10 Questions,10 Min,This test helps recruiters hire candidates with knowledge and experience in working with basic accounting principles and calculating accounting figures.,https://testlify.com/test-library/accounting-advanced/
Accounts Receivable,Medium,10 Questions,10 Min,An Account Receivable assessment is essential in ensuring that the organization’s accounts receivable processes are effective and aligned with the organization’s business goals and objectives.,https://testlify.com/test-library/accounts-receivable/
Accounts payable,Medium,11 Questions,10 Min,"This test will help you to identify individuals who can maintain meticulous records, process invoices, and ensure that accurate documents are maintained for payment.",https://testlify.com/test-library/accounts-payable/
Salesforce Sales Cloud,Medium,12 Questions,10 Min,"This test assesses a candidate’s ability to drive lead generation, facilitate communication across multiple channels, and control the sales process regarding the salesforce sales cloud test.",https://testlify.com/test-library/salesforce-sales-cloud-test/
Salesforce Online,Medium,12 Questions,10 Min,"This Salesforce assessment test helps recruiters hire candidates with knowledge and experience in different Data Modeling, formula field and validation, process automation and Apex/SOQL.",https://testlify.com/test-library/salesforce-online-test/
Pandas,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Python and pandas to perform data wrangling techniques.,https://testlify.com/test-library/pandas/
Natural Language Processing (NLP),Medium,10 Questions,10 Min,This test assesses candidates’ abilities in different aspects of Natural Language Processing.,https://testlify.com/test-library/natural-language-processing-nlp/
Civil Engineering,Medium,10 Questions,10 Min,The Civil Engineering Assessment is a comprehensive evaluation designed to gauge candidates’ proficiency in the field of civil engineering.,https://testlify.com/test-library/civil-engineering/
Power Electronic,Medium,10 Questions,10 Min,"This test assesses individuals’ ability and understanding of concepts like the basics of power electronics, power converters, inverters, and chopper circuits.",https://testlify.com/test-library/power-electronic/
Critical Thinking,Medium,10 Questions,10 Min,A critical thinking test establishes a candidate’s ability to evaluate an argument and reach a conclusion logically.,https://testlify.com/test-library/critical-thinking-test/
Numerical Reasoning,Medium,12 Questions,10 Min,"A numerical reasoning test helps to measure the candidate’s numerical aptitude and their ability to interpret, analyze and draw conclusions from data sets.",https://testlify.com/test-library/numerical-reasoning-assessment/
PRINCE2,Medium,10 Questions,10 Min,This test will help you select candidates with prior experience in Project Management.,https://testlify.com/test-library/prince2/
Data science with R,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in R and know how to utilise Data science with R.,https://testlify.com/test-library/data-science-with-r-test/
Python for Data Science,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Python and know how to utilize Python for Data Science.,https://testlify.com/test-library/python-for-data-science/
MongoDB,Medium,12 Questions,10 Min,The MongoDB assessment test evaluates a candidate’s skills across various database development platforms.,https://testlify.com/test-library/mongodb-test/
Keras,Medium,10 Questions,10 Min,The test assesses candidates’ abilities to implement the Keras library for Deep learning and working with Artificial Neural Networks.,https://testlify.com/test-library/keras/
Scikit-Learn,Medium,10 Questions,10 Min,This test can help you identify individuals that have prior experience in Python and Scikit-learn and know how to utilize it for machine learning.,https://testlify.com/test-library/scikit-learn/
Full Stack Development,Medium,12 Questions,10 Min,The Full Stack Development tests are comprehensive evaluations designed to assess candidates’ proficiency in both frontend and backend web development.,https://testlify.com/test-library/full-stack-development/
Renewable Energy,Medium,12 Questions,10 Min,This test can help you identify individuals who know Renewable Energy and its various types and applications.,https://testlify.com/test-library/renewable-energy/
React,Medium,15 Questions,15 Min,"The React Test assessment is a comprehensive evaluation designed to measure candidates’ proficiency in React, a prominent JavaScript library for building user interfaces.",https://testlify.com/test-library/react-test/
Adobe Photoshop,Medium,12 Questions,10 Min,This test has been made keeping the basics in mind and making sure that the test attendant does not face complications while attempting the test.,https://testlify.com/test-library/adobe-photoshop-test/
Adobe illustrator,Medium,12 Questions,10 Min,This test will help you select candidates with prior experience in Adobe illustrator and Graphics Designing.,https://testlify.com/test-library/adobe-illustrator/
Salesforce Community Cloud,Medium,12 Questions,10 Min,This test evaluates an applicant’s skills in customer engagement and collaboration using Salesforce Community Cloud.,https://testlify.com/test-library/salesforce-community-cloud/
Chemical Engineering,Medium,12 Questions,10 Min,This test will evaluate the domain-specific skills and knowledge of candidates to ensure they can perform crucial duties required in a role.,https://testlify.com/test-library/chemical-engineering/
Quantitative Aptitude,Medium,10 Questions,10 Min,Quantitative Aptitude tests assess a candidate’s ability to process verbal and numerical information and take appropriate decisions and actions for addressing any problem.,https://testlify.com/test-library/quantitative-aptitude/
Salesforce Lightning,Medium,12 Questions,10 Min,"This test evaluates candidates’ proficiency in Salesforce Lightning, focusing on AI, productivity tools, and responsive app creation.",https://testlify.com/test-library/salesforce-lightning-test/
Salesforce Administrator,Medium,12 Questions,10 Min,"This test evaluates candidates’ skills in lead generation, communication, and sales process management using Salesforce Sales Cloud.",https://testlify.com/test-library/salesforce-admin-test/
Electrical Engineering,Medium,12 Questions,10 Min,The questions are intermediate level and prepared considering the scenario and applications of electrical engineering.,https://testlify.com/test-library/electrical-engineering/
Geotechnical Engineering,Medium,10 Questions,10 Min,This assessment has been prepared for the ability check of field Knowledge of Geotechnical Engineering.,https://testlify.com/test-library/geotechnical-engineering/
Node.js,Medium,12 Questions,10 Min,"The Node.js assessment is a comprehensive evaluation designed to measure candidates’ proficiency in Node.js, a widely used server-side JavaScript runtime.",https://testlify.com/test-library/node-js-test/
HTML5,Medium,12 Questions,10 Min,"The HTML5 Assessment serves as a comprehensive tool to evaluate candidates’ expertise in HTML5, the latest iteration of the Hypertext Markup Language that underpins modern web development.",https://testlify.com/test-library/html5/
Power BI,Medium,12 Questions,10 Min,"The Power BI assessment is a comprehensive evaluation designed to measure candidates’ proficiency in utilizing Power BI, a widely used business intelligence and data visualization tool.",https://testlify.com/test-library/power-bi-test/
Project Management,Medium,12 Questions,10 Min,"The project management test measures a candidate’s ability to process Project Management Lifecycle, Situation Handling, Earned Value Management, etc to meet projects’ clear objectives.",https://testlify.com/test-library/project-management-assessment/
VLSI,Medium,12 Questions,10 Min,"The test is of an Intermediate level, and the basics of VLSI are essential. And will help you know the key concepts involved in fundamental as well coding.",https://testlify.com/test-library/vlsi/
Electronics and Communication,Medium,12 Questions,10 Min,"The test is of moderate level, and a basic understanding of the topics of electronics and communication is essential. The test is consisting of both numerical and theory-based questions.",https://testlify.com/test-library/electronics-and-communication/
Product Manager,Medium,12 Questions,10 Min,"Product Manager test gauges whether a candidate has the necessary skills, knowledge, and experience required for the role by testing skills such as Product Thinking, User Research, etc.",https://testlify.com/test-library/product-manager-test/
SQL,Medium,12 Questions,10 Min,"This test will help you identify individuals with prior experience and knowledge of different SQL concepts like database server components, queries, and subqueries.",https://testlify.com/test-library/sql/
Server Side technologies,Medium,12 Questions,8 Min,This test will help you identify individuals with prior knowledge and experience in Server Side technologies.,https://testlify.com/test-library/server-side-technologies/
Unix Operating System Essentials,Medium,12 Questions,10 Min,"The purpose of this test is to assess individuals with knowledge and understanding of the concepts related to Unix operating systems, such as directory management, commands, and file permissions.",https://testlify.com/test-library/unix/
Reactjs Hooks,Medium,12 Questions,10 Min,This test can help you identify individuals that have prior experience with React and its various different Hooks and who know how to properly utilize your React-based codebase.,https://testlify.com/test-library/reactjs-hooks/
Quality Engineering,Medium,12 Questions,10 Min,"This test assesses individuals’ apprehension and ability of basics and concepts in Quality Engineering, including Selenium, mobile automation testing, test management tool, and strategy techniques.",https://testlify.com/test-library/quality-engineering/
Oracle SaaS,Medium,12 Questions,10 Min,This test will help you select candidates with prior experience in Oracle SaaS and SaaS Business.,https://testlify.com/test-library/oracle-saas/
Mechanical Engineering,Medium,12 Questions,10 Min,"This test assesses individuals’ ability and understanding of Mechanical engineering, including Engineering Materials, manufacturing process, the strength of materials, and the theory of Machines.",https://testlify.com/test-library/mechanical-engineering/
Machine Learning,Medium,12 Questions,10 Min,"This test assesses individuals’ understanding and ability of basics and concepts in machine learning, containing NLP, machine learning models, Pandas, and Numpy.",https://testlify.com/test-library/machine-learning/
Digital Transformation,Medium,12 Questions,10 Min,"The test assesses candidates’ knowledge of consulting fundamentals, design thinking, pillars of digital transformation, and digital transformation frameworks.",https://testlify.com/test-library/digital-transformation/
SailPoint IIQ,Medium,10 Questions,10 Min,"SailPoint IdentityIQ is an identity and access management (IAM) solution for enterprise customers that delivers automated access certifications, password management, and identity intelligence.",https://testlify.com/test-library/sailpoint-iiq/
